X,Y,numero
239.338082568254,6209.95210388494,30
291.703801094987,6155.16950604159,32
377.905830054378,6067.35622420445,34
434.299680775475,6006.12861485012,36
522.918589051485,5907.84218930764,38
211.946783646578,5679.84990710663,33
1579.90047685262,6187.79737681594,65
1657.24061498441,6095.95596278444,62
1630.6549425016,5994.44703148647,64
1615.34804016302,5938.85880720424,64
4560.71830068203,6114.08255765908,54
4676.72850787971,5438.96760188366,62
4691.22978377942,5350.34869360765,64
4705.73105967914,5274.61980835361,66
5849.72060287853,6234.92652349,105
5975.39832734269,6283.26410982237,122
5970.56456870946,6204.31271881283,124
5964.11955719847,6086.6912587374,126
5954.452039932,5961.81916071212,130
5827.16306259009,5903.81405711327,109
5948.00702842102,5837.7526891257,132
5941.56201691003,5749.13378084969,134
5815.88429244587,5718.51997617253,111
5935.11700539905,5691.12867725085,136
5931.89449964356,5596.06475746386,138
5791.71549927969,5350.34869360765,105
5786.88174064645,5235.94973928771,107
5785.27048776871,5160.22085403367,109
5778.82547625772,5092.54823316835,111
5773.99171762449,5020.0418536698,113
5772.38046474674,4944.31296841575,115
5909.33695935512,5194.05716446632,140
